Family,species_name,max_length_m,max_mass_kg,max_mass_max_length_ratio,dentition,migratory_behaviour,max_diving_depth,average_group_size,prey_choice,confidence_max_length,confidence_max_mass,confidence_mass_length_ratio,confidence_dentition,confidence_migratory_behaviour,confidence_max_diving_depth,confidence_group_size,confidence_prey_choice,PCEEZ,Global
PONTOPORIIDAE,Pontoporia_blainvillei,small,small,low,FCT,Non-Migratory,epipelagic,Medium_Small,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Pseudorca_crassidens,intermediate,large,medium,FCT,Mixed,upper_mesopelagic,Medium,fish,1,1,1,1,1,1,1,1,1,1
DELPHINIDAE,Sagmatias_obliquidens,small,intermediate,low,FCT,Non-Migratory,lower_mesopelagic,Medium_Large,cephalopods,1,1,1,1,1,1,1,1,1,1
DELPHINIDAE,Sotalia_guianensis,small,small,low,FCT,Non-Migratory,epipelagic,Small,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Sousa_chinensis,small,intermediate,medium,FCT,Non-Migratory,epipelagic,Solitary,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Sousa_plumbea,small,intermediate,medium,FCT,Non-Migratory,epipelagic,Medium,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Sousa_sahulensis,small,intermediate,medium,FCT,Non-Migratory,epipelagic,Small,fish,1,0,0,1,1,1,1,1,0,1
DELPHINIDAE,Sousa_teuszii,small,intermediate,medium,FCT,Non-Migratory,epipelagic,Solitary,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Stenella_attenuata,small,intermediate,low,FCT,Mixed,epipelagic,Large,fish,1,1,1,1,1,0,1,1,0,1
DELPHINIDAE,Stenella_clymene,small,small,low,FCT,Non-Migratory,epipelagic,Large,fish,1,1,1,1,1,0,1,1,0,1
DELPHINIDAE,Stenella_coeruleoalba,small,intermediate,low,FCT,Non-Migratory,lower_mesopelagic,Large,cephalopods,1,1,1,1,1,1,1,1,1,1
DELPHINIDAE,Stenella_frontalis,small,intermediate,low,FCT,Non-Migratory,epipelagic,Medium,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Stenella_longirostris,small,small,low,FCT,Mixed,lower_mesopelagic,Medium_Large,cephalopods,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Steno_bredanensis,small,intermediate,low,FCT,Non-Migratory,epipelagic,Medium,fish,1,1,1,1,0,1,1,1,0,1
ZIPHIIDAE,Tasmacetus_shepherdi,intermediate,large,medium,FCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,0,0,1,1,0,1
DELPHINIDAE,Tursiops_aduncus,small,intermediate,low,FCT,Non-Migratory,lower_mesopelagic,Medium_Small,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Tursiops_truncatus,small,intermediate,medium,FCT,Mixed,lower_mesopelagic,Medium_Small,fish,1,1,1,1,1,1,1,1,1,1
ZIPHIIDAE,Ziphius_cavirostris,intermediate,large,medium,NFCT,Mixed,bathypelagic,Small,cephalopods,1,1,1,1,1,1,1,1,1,1
