Lats,Longs
47.88367171,-131.7139704
47.88236426,-131.7121328
47.87181042,-131.6972644
47.87049397,-131.6954053
47.86786298,-131.6916802
47.8665495,-131.6898156
47.8612993,-131.6823435
47.85998909,-131.680474
47.85737129,-131.6767291
47.85606477,-131.6748552
47.84561555,-131.6598319
47.84431219,-131.6579536
47.8417074,-131.6541898
47.84040704,-131.6523059
47.83520941,-131.6447568
47.83391235,-131.6428682
47.83132091,-131.6390849
47.83002757,-131.6371918
47.81968405,-131.6220155
47.8183939,-131.6201181
47.8158156,-131.6163162
47.81452849,-131.6144133
47.80938397,-131.6067881
47.8081002,-131.6048805
47.80553537,-131.6010593
47.80425536,-131.5991472
47.7940186,-131.5838196
47.7927418,-131.5819033
47.79019025,-131.5780637
47.78891653,-131.576142
47.78382566,-131.5684416
47.78255531,-131.5665152
47.78001736,-131.5626566
47.77875079,-131.5607258
47.76862187,-131.5452488
47.76735855,-131.5433138
47.76483401,-131.5394369
47.76357381,-131.5374966
47.75853711,-131.529722
47.75728031,-131.527777
47.75476951,-131.5238813
47.75351653,-131.5219321
47.74349648,-131.5063073
47.74224678,-131.504354
47.73974951,-131.5004403
47.73850295,-131.4984816
47.73352095,-131.4906336
47.73227783,-131.4886703
47.72979443,-131.4847381
47.72855516,-131.4827706
47.71864502,-131.4669999
47.71740906,-131.4650284
47.71493932,-131.4610784
47.71370655,-131.4591015
47.70877974,-131.451181
47.70755043,-131.4491997
47.7050947,-131.4452313
47.70386926,-131.4432458
47.69407006,-131.4273311
47.69284797,-131.4253415
47.69040601,-131.4213556
47.68918714,-131.4193609
47.68431605,-131.4113688
47.68310068,-131.4093696
47.68067286,-131.4053656
47.67946139,-131.4033623
47.66977413,-131.3873053
47.66856603,-131.385298
47.66615211,-131.3812767
47.66494727,-131.3792643
47.6601324,-131.3712015
47.65893109,-131.3691847
47.65653143,-131.3651454
47.65533405,-131.3631246
47.64575973,-131.3469272
47.64456574,-131.3449024
47.64218011,-131.3408461
47.64098943,-131.3388162
47.63623126,-131.3306837
47.63504413,-131.3286495
47.63267288,-131.3245755
47.63148972,-131.3225373
47.62202932,-131.3062013
47.62084958,-131.3041592
47.61849247,-131.3000684
47.61731607,-131.2980213
47.6126151,-131.28982
47.61144228,-131.2877686
47.60909968,-131.2836603
47.60793085,-131.2816051
47.59858535,-131.2651323
47.59741996,-131.2630732
47.59509163,-131.2589483
47.59392962,-131.2568842
47.58928633,-131.248615
47.58812794,-131.2465467
47.58575513,-131.2422987
47.58465986,-131.2403324
47.5754302,-131.2237248
47.57417988,-131.221469
47.57168237,-131.2169499
47.57043495,-131.2146863
47.56537799,-131.2054838
47.56409961,-131.2031507
47.56169769,-131.1987539
47.56049823,-131.196552
47.5506086,-131.1783513
47.55027483,-131.1777367
47.54960629,-131.1765048
47.54927227,-131.1758888
47.54793513,-131.173421
47.54593806,-131.1697175
47.54195544,-131.1622968
47.53997043,-131.1585807
47.53337333,-131.1461727
47.53172869,-131.1430675
47.52844668,-131.1368464
47.52681018,-131.133732
47.52078938,-131.1222297
47.52004248,-131.1208004
47.51854959,-131.1179385
47.51780421,-131.1165069
47.51482446,-131.110774
47.51408882,-131.1093562
47.51261883,-131.1065179
47.51190061,-131.1051287
47.50922737,-131.0999496
47.50870335,-131.0989509
47.50389107,-131.0897261
47.50149454,-131.0851051
47.49190844,-131.0665154
47.48952203,-131.061861
47.4847661,-131.0525302
47.48239851,-131.0478575
47.46347903,-131.0103155
47.46112453,-131.005618
47.45643137,-130.9961986
47.45409462,-130.9914806
47.44477888,-130.9725619
47.44245988,-130.9678249
47.43783919,-130.9583294
47.43553875,-130.9535735
47.42610464,-130.9339549
47.42546043,-130.9326142
47.42438567,-130.9303749
47.42374141,-130.9290311
47.42180813,-130.9249943
47.42116437,-130.9236486
47.42009191,-130.9214042
47.41944893,-130.9200572
47.41908231,-130.9192883
47.41855961,-130.9181904
47.41751517,-130.9159936
47.41699358,-130.914895
47.41490856,-130.9104974
47.41438806,-130.9093981
47.41334779,-130.9071979
47.41282842,-130.906098
47.4086738,-130.8972877
47.4081555,-130.8961872
47.40711931,-130.893984
47.40660185,-130.8928822
47.40453282,-130.8884708
47.40401647,-130.8873684
47.40298447,-130.885162
47.40246952,-130.8840595
47.39424258,-130.866426
47.39372958,-130.8653252
47.39270345,-130.8631203
47.39219102,-130.8620177
47.39014158,-130.8576017
47.38962998,-130.8564979
47.38860748,-130.8542886
47.38809701,-130.8531841
47.3840125,-130.8443352
47.38350282,-130.8432296
47.3824839,-130.8410162
47.38197508,-130.8399093
47.37994062,-130.8354776
47.37943264,-130.8343696
